RUID,preferred_hall_ids,preferred_residence_type,is_single_preferred,is_private_bathroom_preferred,laundry_availibility,preferred_price_range,max_price
977522906,['WS' 'BS' 'RA'],Apartment,1,1,1,8000-11000,12000
567583671,['TS' 'BS' 'RA'],Apartment,1,1,1,4000-6000,7000
450859644,['RA' 'MS' 'NCA'],Apartment,1,1,1,6000-8000,9000
826829351,['AH' 'SA' 'MS'],Suite,1,1,1,8000-11000,12000
852305641,['BS' 'MS' 'NCA'],Traditional Residence Hall,1,1,1,8000-11000,12000
691318429,['CS' 'SA' 'BS'],Suite,1,1,1,8000-11000,12000
585749760,['RA' 'BS' 'JS'],Apartment,1,1,1,8000-11000,12000
405883909,['BH' 'CS' 'WS'],Apartment,1,1,1,8000-11000,12000
966729559,['BS' 'SA' 'MH'],Apartment,1,1,1,8000-11000,12000
940833526,['BS' 'SA' 'BH'],Apartment,1,1,1,8000-11000,12000
694594287,['MZH' 'CS' 'NCA'],Suite,1,1,1,6000-8000,9000
942108763,['WS' 'BS' 'CS'],Apartment,1,1,1,4000-6000,7000
290282480,['RA' 'CS' 'SA'],Apartment,1,0,1,8000-11000,12000
156192943,['NCA' 'MRS' 'BS'],Apartment,1,1,1,4000-6000,7000
489914871,['NCA' 'BS' 'MS'],Suite,1,1,1,4000-6000,7000
241225895,['NCA' 'RA' 'MRS'],Traditional Residence Hall,1,1,1,6000-8000,9000
203276565,['RA' 'BS' 'NCA'],Suite,1,1,1,4000-6000,7000
338383548,['MZH' 'AH' 'WS'],Apartment,1,1,1,4000-6000,7000
914367253,['SA' 'TS' 'MRS'],Suite,1,1,1,8000-11000,12000
924085406,['MH' 'MS' 'SA'],Suite,1,1,1,8000-11000,12000
271337775,['TS' 'WS' 'RA'],Suite,1,1,1,8000-11000,12000
141565380,['BS' 'BH' 'NCA'],Suite,1,1,1,4000-6000,7000
233162418,['NCA' 'RA' 'JS'],Apartment,1,1,1,4000-6000,7000
670422954,['BS' 'JS' 'SA'],Traditional Residence Hall,1,1,1,8000-11000,12000
741699452,['RA' 'NCA' 'BS'],Apartment,1,1,1,8000-11000,12000
593668231,['BS' 'JS' 'MZH'],Apartment,1,0,1,8000-11000,12000
162655024,['TS' 'JS' 'MH'],Traditional Residence Hall,1,1,1,4000-6000,7000
930486862,['WS' 'JS' 'MH'],Apartment,1,1,1,8000-11000,12000
247796981,['BH' 'MZH' 'RA'],Traditional Residence Hall,1,1,1,8000-11000,12000
326669910,['MZH' 'BS' 'NCA'],Suite,1,1,1,6000-8000,9000
415540944,['RA' 'BH' 'NCA'],Suite,1,1,1,4000-6000,7000
443431178,['MRS' 'SA' 'MH'],Suite,1,1,1,4000-6000,7000
205952430,['BH' 'BS' 'MH'],Suite,1,1,1,4000-6000,7000
957729401,['BS' 'NCA' 'WS'],Suite,1,1,1,8000-11000,12000
