hall_id,building_id,floor_no,room_no,occupancy,room_type,floor_plan,price,type,name,number of students,number of floors,average room size,contract type,is_aircooled,has_vending_machine,has_wifi_in_building,has_laundry,has_main_lounge,has_floor_lounge,has_tv_in_building,has_recreational_activities,has_communal_bathrooms,has_closet_space,has_desk,has_chair,has_microfridge,has_curtains,has_tv_in_room,has_wifi_in_room,has_carpeted_flooring,has_wardrobe,has_twin_bed_mattress,has_hardwood_flooring,has_accessibility_ramps,has_private_bathroom
AH,,Floor 1,101,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 1,102,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 1,103,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 1,104,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 1,105,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 1,106,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 1,107,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 1,108,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 1,109,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 1,110,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 1,111,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 1,112,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 1,113,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 1,114,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 1,115,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 1,116,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 1,117,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 1,118,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,201,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,202,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,203,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,204,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,205,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
